id,movie_id,title,imdb_index,kind_id,production_year,phonetic_code,episode_of_id,season_nr,episode_nr,note,md5sum
50850,3115315,Faye Emerson's Wonderful Town,,2,1951,F5625,,,,,bdce7626d20c4b6c70bdbc62e02d7af2
50980,3126387,W.O.G.,,2,1959,W2,,,,(USA) (short title),be4e5fc4353fb422716f9fc1ea9a94ef
51023,3129788,Eyewitness News,,2,1966,E3525,,,,(USA) (new title),1d4c167d1d302f9c5ef670ccc0f4281b
51024,3129788,KVAL News,,2,2008,K1452,,,,(USA) (new title),31bd12d34991b06b71168d58b990f64b
51025,3129788,Northwest News,,2,1994,N6323,,,,(USA) (new title),79503afd79f5de884cb8ef594d2b1c21
51026,3129788,TV-13 News,,2,1974,T152,,,,(USA) (new title),8cabba1053a93dff08e4848a488ac602
51027,3129788,The Northwest Report,,2,1961,N6323,,,,(USA) (new title),159aebaf617ed6e77f99e0411c5600d2
51620,3153806,The Ben Grauer Show,,2,1946,B5262,,,,(USA) (alternative title),49edb16155d2ec25641c498e92cf7092
51621,3153806,The Warren Hull Show,,2,1946,W6542,,,,(USA) (alternative title),62e94d1b4cd61e246a9945f5f36204e9
51624,3154462,Betcha Life,,2,1950,B3241,,,,(USA) (working title),026edadb2ae63e44997922cb7f3d71e0
51625,3154462,The Groucho Show,,2,1961,G62,,,,(USA) (last season title),dc6f50608159941931e4ab7a8fac6738
51684,3158323,Chevrolet Showroom,,2,1953,C1643,,,,,18d9c4db95ab583674e3c5e3cafad34d
51685,3158502,Adolphe Menjou erzählt,,2,1956,A3415,,,,(Austria) (imdb display title),760faca02d75bf9204124cdc44fbb73a
51690,3159136,Sid Caesar's Show of Shows,,2,1950,S3262,,,,(UK) (rerun title),c4609351bb1544b942021d800caa24ef
52082,3168645,Abenteuer im wilden Westen,,2,1967,A1536,,,,(West Germany),8b67035b3fa4c507f42ff62fc51093a1
52083,3168645,Dick Powell's Zane Grey Theater,,2,1956,D2142,,,,(USA) (complete title),e1d103fa9a460b05c9a268b3332b11a4
52084,3168645,I racconti del West,,2,1956,R2534,,,,(Italy) (imdb display title),cd92be3eee37e2668977fa7af531aaa2
52085,3168645,The Westerners,,2,1962,W2365,,,,(USA) (rerun title),937b91e39b7aa6bb411e55bf47268daa
52131,3171450,Fünf Minuten mit Adalbert Dickhut,,2,1955,F5153,,,,(West Germany) (second season title),e4823cd3ef01d16f8f55f33eeeae3275
52137,3171508,ZiB,,2,1957,Z1,,,,(Austria) (promotional abbreviation),8db7a00bde9c14165317ce800e565db0
52388,3184158,Meister Nadelöhr erzählt,,2,1955,M2365,,,,(East Germany),2a42092fe6e20b27928716f0f8d466c3
53035,3201706,Het jaaroverzicht van 1957,,3,1957,J6162,,,,(Netherlands) (alternative title),8feed6da7b51ffbb13c5305268f76542
53036,3201706,Jaaroverzicht 1957,,3,1957,J6162,,,,(Netherlands) (DVD menu title),5cdaa1e5bc46d43704143319a56802c0
53170,3202273,"... allerlei am Weg ich fand - Lüneburger Heide - blühendes, schaffendes Land zwischen Elbe und Weser",,3,1954,A4645,,,,(West Germany) (long title),5786df4f29d61b4e969f56fc05e95599
55478,3210775,Hallmark Hall of Fame: 21-Plus (#1.31),,3,1952,H4562,,,,(USA) (anthology series),f23c5e83d36b607ed2f110338f94de09
58722,3222115,Hallmark Hall of Fame: A Christmas Festival (#9.3),,3,1959,H4562,,,,(USA) (anthology series),b0e341db7a8502020a311a9aaba0ca4e
59382,3225114,Hallmark Hall of Fame: A Doll's House (#9.2),,3,1959,H4562,,,,(USA) (anthology series),f3cc5e815312634ec1eaf69d280602b6
61055,3232203,Hallmark Hall of Fame: A Man of Many Ideas (#4.3),,3,1954,H4562,,,,(USA) (anthology series),fad9eebef9ae781b76893343fede07ca
61150,3232574,Hallmark Hall of Fame: A Matter of Principle (#4.11),,3,1954,H4562,,,,(USA) (anthology series),39ae528975e5ae049b2eb1774c0f0942
61236,3232995,Night's Dream Part 1 - The Transformation Of Bottom,,3,1950,N2323,,,,(UK) (alternative title),6696d235e4b4e702bc128eb10400b0b4
61237,3232997,A Midsummer Night's Dream Part 2 - The Play,,3,1950,M3256,,,,(UK) (alternative title),c367ef3e981cc5753aa38585d126a898
62015,3236666,Around the World in 90 Minutes,,3,1957,A6536,,,,(alternative title),fadeaa361433651b58c6c5a4acf1aab9
62086,3236956,Hallmark Hall of Fame: A Queen Is Born (#2.31),,3,1953,H4562,,,,(USA) (anthology series),34637aae322f536632a052fbf0d5b5ea
62090,3236963,Hallmark Hall of Fame: A Queen's Way (#3.3),,3,1953,H4562,,,,(USA) (anthology series),bfccfafb0d094f88c67b43ec76b74b7a
62186,3237454,Hallmark Hall of Fame: A Reckless Youth (#3.37),,3,1954,H4562,,,,(USA) (anthology series),1fef238ffb0ac73d259f45607a0d84d3
62580,3239548,Hallmark Hall of Fame: A Smile for Danger (#3.1),,3,1953,H4562,,,,(USA) (anthology series),e70e1ca44a3d7f5ed18358585249e9ff
62762,3240365,Hallmark Hall of Fame: A Story About Henry Ford (#4.22),,3,1955,H4562,,,,(USA) (anthology series),4f36f4a58f470b1b501744d287f0a817
63810,3244547,Hallmark Hall of Fame: A Woman for the Ages (#1.2),,3,1952,H4562,,,,(USA) (anthology series),ffd844ac20e9e58fcd32f414adfc08e7
66981,3255187,Hallmark Hall of Fame: Aesop and Rhodope (#3.12),,3,1953,H4562,,,,(USA) (anthology series),a889fd4fa2aa1977013d1cdae8f0ff5a
68371,3259151,"Hallmark Hall of Fame: Ah, Wilderness! (#8.6)",,3,1959,H4562,,,,(USA) (anthology series),2a80e0dea5c62f12267a99dbb5510c73
69015,3260138,Hallmark Hall of Fame: Aimee De Rivery (#4.34),,3,1955,H4562,,,,(USA) (anthology series),67040d67483d987d6814a60da83e5f44
70121,3262456,áË×ÁÒÅÌØ,,3,1958,,,,,(Soviet Union: Russian title) (original Cyrillic KOI8-R title),2b324d3c2688582a7bc3273425e26234
70725,3263752,Alarm: The Story of Your Fire Department,,3,1956,A4653,,,,(USA) (long title),e0845ecb4a3f0e6315d1dc54199a35ce
71466,3265954,Alice in Wonderland,,3,1946,A4253,,,,(USA) (imdb display title),dc2568ec2d3e23a302da9dac0a604b0d
71543,3266183,Hallmark Hall of Fame: Alice in Wonderland (#5.1),,3,1955,H4562,,,,(USA) (anthology series),c75a9cf7c53bf0403c20733abbb43630
73797,3274154,Hallmark Hall of Fame: Amahl and the Night Visitors,,3,1951,H4562,,,,(USA) (anthology series),f5733d90136f50622a8356a56843f6a2
73798,3274156,Hallmark Hall of Fame: Amahl and the Night Visitors (#1.16),,3,1952,H4562,,,,(USA) (anthology series),a2d2bde9aecbbd7b77ef9591971fce28
